"ID","Name","Address","Setting","Type","Causative1","DateBegan","DateEnded","Active"
"1","Amica On The Avenue","1066 Ave Rd","Retirement Home","Respiratory","Covid-19","2024-01-17",NA,TRUE
"2","Uhn Toronto Rehabilitation Institue - Bickle Centre - N3","130 Dunn Ave","Hospital-Chronic Care","Respiratory","Influenza A (Not Subtyped)","2024-01-17",NA,TRUE
"3","Fairview Nursing Home","14 Cross St","Ltch","Respiratory","Pending","2024-01-16",NA,TRUE
"4","Hellenic Home - Unit 2b","2411 Lawrence Ave E","Ltch","Respiratory","Covid-19","2024-01-16",NA,TRUE
"5","Hillcrest Reactivation Centre - 3rd Fl","47 Austin Terr","Hospital-Chronic Care","Enteric","Pending","2024-01-16",NA,TRUE
"6","Shsc - Sunnybrook Veterans Centre - Ldmh","2075 Bayview Ave","Ltch","Enteric","Pending","2024-01-16",NA,TRUE
"7","Toronto East Health Network - Michael Garron Hospital - B3","825 Coxwell Ave","Hospital-Acute Care","Respiratory","Covid-19","2024-01-16",NA,TRUE
"8","Centre For Addiction And Mental Health - Queen Street Site - Gaub","1001 Queen St West","Hospital-Psychiatric","Respiratory","Covid-19","2024-01-15",NA,TRUE
"9","Cheltenham Care Community - 1st Fl","5935 Bathrust St","Ltch","Respiratory","Respiratory Syncytial Virus","2024-01-15",NA,TRUE
"10","Hazelton Place Retirement Residence - 2nd Fl","111 Ave Rd","Ltch","Respiratory","Covid-19","2024-01-15",NA,TRUE
"11","West Park Long Term Care Centre - Weston & Mulholland","82 Buttonwood Ave","Ltch","Respiratory","Covid-19","2024-01-15",NA,TRUE
"12","Baycrest Hospital - 4 West","3560 Bathurst St","Hospital-Chronic Care","Respiratory","Respiratory Syncytial Virus","2024-01-14",NA,TRUE
"13","Copernicus Lodge - 2n & 2s","66 Roncesvalles Ave","Ltch","Respiratory","Covid-19","2024-01-13",NA,TRUE
"14","St. George Care Community - 1st Fl","225 St. George St","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-13",NA,TRUE
"15","Donway Place","8 The Donway E","Retirement Home","Respiratory","Covid-19","2024-01-12",NA,TRUE
"16","Hellenic Care For Seniors - Ground Fl","215 Tyrrel Ave","Ltch","Respiratory","Covid-19","2024-01-12",NA,TRUE
"17","St. Peter & Paul Residence - 4th Fl","221 Milner Ave","Ltch","Enteric","Pending","2024-01-12",NA,TRUE
"18","Castleview Wychwood Towers - 3rd Fl","351 Christie St","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-11",NA,TRUE
"19","Fieldstone Commons Care Community - 4a","1000 Ellesmere Rd","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-11",NA,TRUE
"20","Mon Sheong Scarborough Long Term Care Centre - 2s","2030 Mcnicoll Ave","Ltch","Respiratory","Covid-19","2024-01-11",NA,TRUE
"21","Reactivation Care Centre - Finch Site - Humber River Hospital - 6 East","2111 Finch Ave W","Hospital-Chronic Care","Respiratory","Pending","2024-01-11",NA,TRUE
"22","Seven Oaks - 2nd & 5th Fl","9 Nielson Road","Ltch","Respiratory","Respiratory Syncytial Virus","2024-01-11",NA,TRUE
"23","The Jewish Home For The Aged - 3ei","3560 Bathurst St","Ltch","Respiratory","Covid-19","2024-01-11",NA,TRUE
"24","The Russell Hill Retirement Residence","262 St. Clair Ave W","Retirement Home","Respiratory","Covid-19","2024-01-11",NA,TRUE
"25","Unity Health Toronto - Providence - A4","3276 St. Clair Ave East","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-11",NA,TRUE
"26","Weston Terrace - 2nd Fl B Wing","2005 Lawrence Ave W","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-11",NA,TRUE
"27","Scarborough Health Network - General Hospital - T7","3050 Lawrence Ave E","Hospital-Acute Care","Respiratory","Respiratory Syncytial Virus","2024-01-10",NA,TRUE
"28","Toronto East Health Network - Atrium At Kew Beach - 2w","500 Kingston Rd","Hospital-Chronic Care","Respiratory","Covid-19","2024-01-10","2024-01-17",FALSE
"29","Toronto East Health Network - Michael Garron Hospital - Mcu","825 Coxwell Ave","Hospital-Acute Care","Respiratory","Covid-19","2024-01-10",NA,TRUE
"30","Ukrainian Canadian Care Centre - 2nd Fl","60 Richview Rd","Ltch","Respiratory","Influenza A (Not Subtyped)","2024-01-10","2024-01-16",FALSE
"31","University Health Network - Toronto Western - 4b","399 Bathurst St","Hospital-Acute Care","Respiratory","Covid-19","2024-01-10",NA,TRUE
"32","Castleview Wychwood Towers - 2 West","351 Christie St","Ltch","Respiratory","Covid-19","2024-01-09",NA,TRUE
"33","Delmanor Northtown Retirement Home - 4th, 5th, 6th & 8th Fl","5351 Yonge St","Retirement Home","Respiratory","Influenza A","2024-01-09",NA,TRUE
